Дата создания документа	Идентификатор накладной	№ вагона	№ накладной	Состояние накладной	Дата приемосд. (все док-ты)	Дата прибытия	Дата раскр. (все док-ты)	Папка	Номер заявки	Идентификатор заявки	Код ТГНЛ Грузоотправителя	ОКПО Грузоотправителя	Наименование Грузоотправителя	Код ТГНЛ Грузополучателя	ОКПО Грузополучателя	Наименование Грузополучателя	Наим. станции отправления	Код станции отправления	Код плательщика на ст. отпр.	Код станции назначения	ОКПО порта назначения	Код груза ЕТ СНГ	Масса груза погруженая (кг)	Код типа собств. вагона	ОКПО организации собственника	Наим. организации собственника	Сумма сбора	Сумма налога	Количество вагонов	Срок доставки	Дата приемосд. (действующие до	Код плательщика на ст. назн.	Итого сумма по прибытию	Итого НДС по прибытию
03.08.2012 6:22:48	283091606	54502489	00106328	Работа с документом окончена	03.08.2012 1:00:50	13.08.2012 3:45:00	13.08.2012 10:11:04	Прибытие			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	16.08.2012	03.08.2012 1:00:50	1002256437	24232	4361,76
03.08.2012 6:18:14	283091303	54467139	00106391	Работа с документом окончена	03.08.2012 1:00:16	13.08.2012 3:45:00	13.08.2012 10:08:43	Прибытие			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	16.08.2012	03.08.2012 1:00:16	1002256437	24232	4361,76
03.08.2012 6:20:51	283091499	54489646	00106392	Работа с документом окончена	03.08.2012 1:00:53	13.08.2012 3:45:00	13.08.2012 10:05:57	Прибытие			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	16.08.2012	03.08.2012 1:00:53	1002256437	24232	4361,76
06.08.2012 7:50:28	283336849	54460258	00106393	Работа с документом окончена	06.08.2012 1:00:29	21.08.2012 14:20:00	22.08.2012 10:07:19	Прибытие			9999		МАНЖУРСКАЯ ТОРГ.ЭКОНОМ. КОМПАНИЯ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	19.08.2012	06.08.2012 1:00:29	1002256437	24232	4361,76
11.08.2012 8:19:18	283913607	54509252	00106395	Работа с документом окончена	11.08.2012 1:00:23	18.08.2012 1:32:00	18.08.2012 8:56:50	Прибытие			9999		СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	24.08.2012	11.08.2012 1:00:23	1002256437	24232	4361,76
15.08.2012 12:55:59	284318119	54414206	00106397	Работа с документом окончена	15.08.2012 1:00:00	23.08.2012 21:50:00	24.08.2012 4:40:51	Прибытие			9999		ООО МАНЬЧЖУРСКАЯ ТПК СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	28.08.2012	15.08.2012 1:00:00	1002256437	24232	4361,76
11.08.2012 10:29:41	283922784	54469143	00106478	Работа с документом окончена	11.08.2012 1:00:42	19.08.2012 11:35:00	19.08.2012 14:07:55	Прибытие			9999		МАНЖУРСКАЯ СИНЬ И	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	24.08.2012	11.08.2012 1:00:42	1002256437	24232	4361,76
18.08.2012 3:04:49	284615346	54202569	00106479	Работа с документом окончена	18.08.2012 1:00:50	07.09.2012 18:10:00	08.09.2012 8:13:48	Прибытие			9999		ЦЗИ ЮАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	20915	3764,7	1	31.08.2012	18.08.2012 1:00:50	1002256437	20915	3764,7
12.08.2012 4:28:19	283973343	54489422	00106480	Работа с документом окончена	12.08.2012 1:00:20	21.08.2012 14:20:00	22.08.2012 9:52:57	Прибытие			9999		МАНЖУРСКАЯ ТПК  СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	25.08.2012	12.08.2012 1:00:20	1002256437	24232	4361,76
12.08.2012 4:25:52	283973274	54449475	00106481	Работа с документом окончена	12.08.2012 1:00:53	21.08.2012 14:20:00	22.08.2012 10:11:52	Прибытие			9999		МАНЖУРСКАЯ ТПК  СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	25.08.2012	12.08.2012 1:00:53	1002256437	24232	4361,76
11.08.2012 10:27:20	283922575	54491519	00106484	Работа с документом окончена	11.08.2012 1:00:22	19.08.2012 11:35:00	19.08.2012 14:06:18	Прибытие			9999		МАНЖУРСКАЯ СИНЬ И	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	24.08.2012	11.08.2012 1:00:22	1002256437	24232	4361,76
12.08.2012 7:10:24	283979613	54473525	00106485	Работа с документом окончена	12.08.2012 1:00:28	23.08.2012 21:50:00	24.08.2012 4:48:49	Прибытие			9999		МАНЖУРСКАЯ СИНЬ И	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	25.08.2012	12.08.2012 1:00:28	1002256437	24232	4361,76
12.08.2012 7:13:10	283979712	54485214	00106486	Работа с документом окончена	12.08.2012 1:00:11	28.08.2012 22:52:00	29.08.2012 4:24:01	Прибытие			9999		МАНЖУРСКАЯ СИНЬ И	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	25.08.2012	12.08.2012 1:00:11	1002256437	24232	4361,76
16.08.2012 4:23:26	284383304	54485354	00106487	Работа с документом окончена	16.08.2012 1:00:28	27.08.2012 6:35:00	27.08.2012 12:42:43	Прибытие			9999		СИНЬ И	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	29.08.2012	16.08.2012 1:00:28	1000587151	24232	4361,76
14.08.2012 7:56:18	284165860	54466586	00106546	Работа с документом окончена	14.08.2012 1:00:19	04.09.2012 7:25:00	04.09.2012 12:23:39	Прибытие			9999		КЭ ШЕН	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	27.08.2012	14.08.2012 1:00:19	1000587151	24232	4361,76
24.08.2012 14:48:47	285302470	54202551	00106547	Работа с документом окончена	24.08.2012 1:00:00	09.09.2012 1:30:00	09.09.2012 7:34:42	Прибытие			9999		СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	20915	3764,7	1	06.09.2012	24.08.2012 1:00:00	1000587151	20915	3764,7
23.08.2012 6:19:19	285118473	54431101	00106549	Работа с документом окончена	23.08.2012 1:00:20	28.08.2012 7:35:00	28.08.2012 13:26:14	Прибытие			9999		СИНЬ МАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	05.09.2012	23.08.2012 1:00:20	1000587151	24232	4361,76
23.08.2012 6:21:34	285118629	54502067	00106550	Работа с документом окончена	23.08.2012 1:00:36	28.08.2012 7:35:00	28.08.2012 13:28:06	Прибытие			9999		СИНЬ МАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	05.09.2012	23.08.2012 1:00:36	1000587151	24232	4361,76
26.08.2012 12:30:57	285447076	54458559	00106551	Работа с документом окончена	26.08.2012 1:00:59	09.09.2012 1:30:00	09.09.2012 7:36:28	Прибытие			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	08.09.2012	26.08.2012 1:00:59	1000587151	24232	4361,76
23.08.2012 6:29:51	285119096	54484316	00106553	Работа с документом окончена	23.08.2012 1:00:53	28.08.2012 7:35:00	28.08.2012 13:22:03	Прибытие			9999		СИНЬ МАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	05.09.2012	23.08.2012 1:00:53	1000587151	24232	4361,76
23.08.2012 6:23:14	285118730	54376835	00106554	Работа с документом окончена	23.08.2012 1:00:16	28.08.2012 7:35:00	28.08.2012 13:24:32	Прибытие			9999		СИНЬ МАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	20915	3764,7	1	05.09.2012	23.08.2012 1:00:16	1000587151	20915	3764,7
31.08.2012 8:17:49	285988901	54489646	00106709	Работа с документом окончена	31.08.2012 1:00:50	10.09.2012 4:50:00	10.09.2012 7:50:15	Прибытие			9999		СИНЬ И	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	13.09.2012	31.08.2012 1:00:50	1002256437	24232	4361,76
26.08.2012 12:32:42	285447168	54453048	00106710	Работа с документом окончена	26.08.2012 1:00:44	09.09.2012 1:30:00	09.09.2012 7:38:00	Прибытие			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	08.09.2012	26.08.2012 1:00:44	1000587151	24232	4361,76
26.08.2012 12:28:44	285446953	54502489	00106711	Работа с документом окончена	26.08.2012 1:00:47	09.09.2012 1:30:00	09.09.2012 7:30:37	Прибытие			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	08.09.2012	26.08.2012 1:00:47	1002256437	24232	4361,76
26.08.2012 12:34:31	285447257	54424049	00106712	Работа с документом окончена	26.08.2012 1:00:33	09.09.2012 1:30:00	09.09.2012 7:32:43	Прибытие			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	08.09.2012	26.08.2012 1:00:33	1002256437	24232	4361,76
31.08.2012 2:15:55	285967046	54452859	00106714	Работа с документом окончена	30.08.2012 1:00:00	06.09.2012 6:04:00	06.09.2012 8:47:30	Прибытие			9999		СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	13.09.2012	30.08.2012 1:00:00	1002256437	24232	4361,76
31.08.2012 2:20:12	285967183	54509252	00106715	В пути	30.08.2012 1:00:00			В пути			9999		СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	13.09.2012	30.08.2012 1:00:00		0	0
06.09.2012 9:39:05	286618203	54469143	00106716	В пути	06.09.2012 1:00:00			В пути			9999		ТПК СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	19.09.2012	06.09.2012 1:00:00		0	0
31.08.2012 2:13:39	285966966	54491519	00106717	Сторнирован в пути	30.08.2012 1:00:00			Не действительны			9999		СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	13.09.2012			0	0
31.08.2012 2:18:11	285967119	54491519	00106717	Работа с документом окончена	30.08.2012 1:00:00	06.09.2012 6:04:00	06.09.2012 8:42:50	Прибытие			9999		СИНЬ МАНЬ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	24232	4361,76	1	13.09.2012	30.08.2012 1:00:00	1002256437	24232	4361,76
06.09.2012 13:18:33	286646645	54489422	00106846	В пути	06.09.2012 1:00:00			В пути			9999		ТПК СИНЬ МАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	19.09.2012	06.09.2012 1:00:00		0	0
06.09.2012 13:15:34	286646221	54449475	00106847	В пути	06.09.2012 1:00:00			В пути			9999		ТПК СИНЬ МАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	19.09.2012	06.09.2012 1:00:00		0	0
06.09.2012 9:36:30	286617858	54460258	00106848	В пути	06.09.2012 1:00:00			В пути			9999		ТПК СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	19.09.2012	06.09.2012 1:00:00		0	0
08.09.2012 9:16:48	286837351	54470547	00106851	В пути	08.09.2012 1:00:49			В пути			9999		МАНЬЧЖУРСКАЯ КОМПАНИЯ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	21.09.2012	08.09.2012 1:00:49		0	0
11.09.2012 5:45:16	287073628	54484316	00106854	В пути	11.09.2012 1:01:17			В пути			9999		СИНЬ МАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	24.09.2012	11.09.2012 1:01:17		0	0
11.09.2012 5:47:28	287073720	54376835	00106949	В пути	11.09.2012 1:00:30			В пути			9999		СИНЬ МАНЬ	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	24.09.2012	11.09.2012 1:00:30		0	0
11.09.2012 5:49:20	287073819	54431101	00106951	В пути	11.09.2012 1:00:21			В пути			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	24.09.2012	11.09.2012 1:00:21		0	0
10.09.2012 12:38:15	286999770	54502067	00106952	В пути	10.09.2012 1:00:00			В пути			9999		СИНЬ И	2031	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		893500		421034	0	1	93294342	ООО "ТрансЛес"	0	0	1	23.09.2012	10.09.2012 1:00:00		0	0
08.08.2012 16:25:16	283638985	54477070	00547499	Работа с документом окончена	08.08.2012 1:00:17	18.08.2012 22:12:00	19.08.2012 6:01:33	Прибытие			9999		МАНЖУРСКАЯ ТОРГ.ЭКОНОМ. КОМПАНИЯ СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	21.08.2012	08.08.2012 1:00:17	1000587151	24274	4369,32
21.08.2012 4:03:29	284874202	54372487	00547726	Работа с документом окончена	21.08.2012 1:00:30	01.09.2012 8:03:00	01.09.2012 11:07:32	Прибытие			9999		МАНЬ/СКАЯ ТОРГОВАЯ ЭКОН/Я К/Я С ОО	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	20951	3771,18	1	03.09.2012	21.08.2012 1:00:30	1000587151	20951	3771,18
30.07.2012 13:18:31	282657727	54487962	00547759	Работа с документом окончена	30.07.2012 1:00:34	05.08.2012 8:03:00	05.08.2012 16:06:38	Прибытие			9999		СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	12.08.2012	30.07.2012 1:00:34	1000587151	24274	4369,32
03.08.2012 13:12:21	283139288	54489208	00547768	Работа с документом окончена	03.08.2012 1:00:23	08.08.2012 10:00:00	08.08.2012 11:42:47	Прибытие			9999		СИНЬЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	16.08.2012	03.08.2012 1:00:23	1000587151	24274	4369,32
03.08.2012 13:17:04	283139928	54459904	00547769	Работа с документом окончена	03.08.2012 1:00:06	08.08.2012 10:00:00	08.08.2012 11:38:40	Прибытие			9999		СИНЬЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	16.08.2012	03.08.2012 1:00:06	1000587151	24274	4369,32
28.07.2012 22:14:54	282529199	54371596	00547778	Работа с документом окончена	28.07.2012 1:14:55	03.08.2012 7:45:00	03.08.2012 8:55:29	Прибытие			9999		ЛИ ЛИН	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	20951	3771,18	1	10.08.2012	28.07.2012 1:14:55	1000587151	20951	3771,18
28.07.2012 22:03:42	282528929	54855002	00547779	Работа с документом окончена	28.07.2012 1:03:43	03.08.2012 7:45:00	03.08.2012 8:51:47	Прибытие			9999		ЛИ ЛИН	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	20951	3771,18	1	10.08.2012	28.07.2012 1:03:43	1000587151	20951	3771,18
31.07.2012 15:56:11	282813211	54423140	00547780	Работа с документом окончена	31.07.2012 1:00:12	06.08.2012 8:08:00	06.08.2012 9:30:53	Прибытие			9999		ЛИ ЛИН	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	13.08.2012	31.07.2012 1:00:12	1000587151	24274	4369,32
31.07.2012 15:22:14	282807728	54370507	00547781	Работа с документом окончена	31.07.2012 1:00:16	11.08.2012 8:03:00	11.08.2012 8:58:53	Прибытие			9999		ЛИ ЛИН	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	20951	3771,18	1	13.08.2012	31.07.2012 1:00:16	1000587151	20951	3771,18
30.07.2012 13:14:56	282657242	54432513	00547782	Работа с документом окончена	30.07.2012 1:00:58	05.08.2012 8:03:00	05.08.2012 16:04:44	Прибытие			9999		СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	12.08.2012	30.07.2012 1:00:58	1000587151	24274	4369,32
16.08.2012 8:03:06	284397291	54473111	00547783	Работа с документом окончена	16.08.2012 1:00:07	22.08.2012 22:20:00	23.08.2012 6:12:37	Прибытие			9999		ТЭК СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	82404922	Открытое акционерное общество "Первая грузовая компания"	24274	4369,32	1	29.08.2012	16.08.2012 1:00:07	1002256437	24274	4369,32
30.07.2012 13:11:07	282656685	54487665	00547784	Работа с документом окончена	30.07.2012 1:00:10	05.08.2012 8:03:00	05.08.2012 16:02:38	Прибытие			9999		СИНЬ ЮЭЙ	4048	58789423	ООО,,ТрансЦентр,,	ЗАБАЙКАЛЬСК (ЭКСП.КЖД)	947005		895101		421034	0	1	93294342	ООО "ТрансЛес"	24274	4369,32	1	12.08.2012	30.07.2012 1:00:10	1000587151	24274	4369,32
